Species,FMAXE,D,HF,LF,B,SR
Hesperoptenus tickelli Andaman,34.95122601,4.76747091,50.69110635,27.50542798,23.18567837,4.863307781
Hesperoptenus tickelli Andaman,39.13955291,5.338444145,49.15196665,26.91279673,22.23916992,4.16585232
Hesperoptenus tickelli Andaman,39.13955291,5.338444145,49.15196665,26.91279673,22.23916992,4.16585232
Hesperoptenus tickelli Andaman,35.9944774,4.472292985,51.88056434,25.35375596,26.52680837,5.931366407
Hesperoptenus tickelli Andaman,30.54279191,4.591107211,53.10306557,27.09468439,26.00838117,5.664947468
Hesperoptenus tickelli Andaman,29.37772829,3.95729339,50.50133452,27.32601445,23.17532007,5.856356298
Hesperoptenus tickelli Andaman,30.94470025,3.781881678,50.22090775,27.22854794,22.99235981,6.07960845
Hesperoptenus tickelli Andaman,34.95122601,4.76747091,50.69110635,27.50542798,23.18567837,4.863307781
Hesperoptenus tickelli Andaman,34.95122601,4.76747091,50.69110635,27.50542798,23.18567837,4.863307781
Hesperoptenus tickelli Andaman,36.28565872,5.811188729,48.98048051,27.00640348,21.97407702,3.781339421
Hesperoptenus tickelli Andaman,38.29804553,4.359290401,50.77683475,27.40681559,23.37001916,5.360968647
Hesperoptenus tickelli Andaman,30.54279191,4.591107211,53.10306557,27.09468439,26.00838117,5.664947468
Hesperoptenus tickelli Andaman,29.96570142,4.249749579,50.53184462,25.2150553,25.31678932,5.957242621
Hesperoptenus tickelli Andaman,35.9944774,4.472292985,51.88056434,25.35375596,26.52680837,5.931366407
Hesperoptenus tickelli Andaman,35.86882626,5.451115564,50.63884514,26.46607987,24.17276527,4.434462082
Hesperoptenus tickelli Andaman,40.45050276,3.786436229,52.05364268,25.0269484,27.02669428,7.137765604
Hesperoptenus tickelli Andaman,30.94470025,3.781881678,50.22090775,27.22854794,22.99235981,6.07960845
Hesperoptenus tickelli Andaman,29.59283904,5.149686749,50.1680201,25.86065401,24.30736609,4.720164017
Hesperoptenus tickelli Andaman,40.86020227,4.145161205,51.62026541,27.64756092,23.97270449,5.78329848
Hesperoptenus tickelli Andaman,39.412219,5.711667969,53.31008701,25.10482034,28.20526667,4.938183876
Hesperoptenus tickelli Andaman,38.29804553,4.359290401,50.77683475,27.40681559,23.37001916,5.360968647
Hesperoptenus tickelli Andaman,36.28565872,5.811188729,48.98048051,27.00640348,21.97407702,3.781339421
Hesperoptenus tickelli Andaman,32.42191101,4.909299035,52.9758149,27.59283813,25.38297677,5.170387175
Hesperoptenus tickelli Andaman,29.57034068,4.870557923,51.57961114,27.26864067,24.31097048,4.991413892
Hesperoptenus tickelli Andaman,35.9944774,4.472292985,51.88056434,25.35375596,26.52680837,5.931366407
Hesperoptenus tickelli Andaman,29.96570142,4.249749579,50.53184462,25.2150553,25.31678932,5.957242621
Hesperoptenus tickelli Andaman,29.96570142,4.249749579,50.53184462,25.2150553,25.31678932,5.957242621
Hesperoptenus tickelli Andaman,34.65177907,4.467254066,52.97672453,25.91397199,27.06275254,6.05802852
Hesperoptenus tickelli Andaman,37.70326647,4.815081639,49.80027027,27.29136919,22.50890108,4.674666551
Hesperoptenus tickelli Andaman,36.28565872,5.811188729,48.98048051,27.00640348,21.97407702,3.781339421
Hesperoptenus tickelli Andaman,29.59283904,5.149686749,50.1680201,25.86065401,24.30736609,4.720164017
Hesperoptenus tickelli Andaman,30.54279191,4.591107211,53.10306557,27.09468439,26.00838117,5.664947468
Hesperoptenus tickelli Andaman,40.86020227,4.145161205,51.62026541,27.64756092,23.97270449,5.78329848
Hesperoptenus tickelli Andaman,34.95122601,4.76747091,50.69110635,27.50542798,23.18567837,4.863307781
Hesperoptenus tickelli Andaman,33.88989124,3.665882807,50.61785565,27.77800331,22.83985234,6.23038257
Hesperoptenus tickelli Andaman,36.82633337,5.390762835,49.87450825,26.80279012,23.07171813,4.279861466
Hesperoptenus tickelli Andaman,36.28565872,5.811188729,48.98048051,27.00640348,21.97407702,3.781339421
Hesperoptenus tickelli Andaman,30.94470025,3.781881678,50.22090775,27.22854794,22.99235981,6.07960845
Hesperoptenus tickelli Andaman,34.95122601,4.76747091,50.69110635,27.50542798,23.18567837,4.863307781
Hesperoptenus tickelli Andaman,29.96570142,4.249749579,50.53184462,25.2150553,25.31678932,5.957242621
Hesperoptenus tickelli Andaman,40.86020227,4.145161205,51.62026541,27.64756092,23.97270449,5.78329848
Hesperoptenus tickelli Andaman,34.95122601,4.76747091,50.69110635,27.50542798,23.18567837,4.863307781
Hesperoptenus tickelli Andaman,29.37772829,3.95729339,50.50133452,27.32601445,23.17532007,5.856356298
Hesperoptenus tickelli Andaman,38.29804553,4.359290401,50.77683475,27.40681559,23.37001916,5.360968647
Hesperoptenus tickelli Andaman,38.4932877,3.920059318,52.7678874,25.09520445,27.67268296,7.059251076
Hesperoptenus tickelli Andaman,36.28565872,5.811188729,48.98048051,27.00640348,21.97407702,3.781339421
Hesperoptenus tickelli Andaman,29.96570142,4.249749579,50.53184462,25.2150553,25.31678932,5.957242621
Hesperoptenus tickelli Andaman,36.28565872,5.811188729,48.98048051,27.00640348,21.97407702,3.781339421
Hesperoptenus tickelli Andaman,40.45050276,3.786436229,52.05364268,25.0269484,27.02669428,7.137765604
Hesperoptenus tickelli Andaman,39.412219,5.711667969,53.31008701,25.10482034,28.20526667,4.938183876
Hesperoptenus tickelli Andaman,37.70326647,4.815081639,49.80027027,27.29136919,22.50890108,4.674666551
Hesperoptenus tickelli Andaman,40.51859641,4.994614125,51.06564872,27.69421059,23.37143813,4.679328082
Hesperoptenus tickelli Andaman,32.42191101,4.909299035,52.9758149,27.59283813,25.38297677,5.170387175
Hesperoptenus tickelli Andaman,29.57034068,4.870557923,51.57961114,27.26864067,24.31097048,4.991413892
Hesperoptenus tickelli Andaman,35.9944774,4.472292985,51.88056434,25.35375596,26.52680837,5.931366407
Hesperoptenus tickelli Andaman,30.94470025,3.781881678,50.22090775,27.22854794,22.99235981,6.07960845
Hesperoptenus tickelli Andaman,32.42191101,4.909299035,52.9758149,27.59283813,25.38297677,5.170387175
Hesperoptenus tickelli Andaman,40.86020227,4.145161205,51.62026541,27.64756092,23.97270449,5.78329848
Hesperoptenus tickelli Andaman,30.40525224,3.674329244,53.6872392,25.65476772,28.03247148,7.629275881
Hesperoptenus tickelli Andaman,32.42191101,4.909299035,52.9758149,27.59283813,25.38297677,5.170387175
Hesperoptenus tickelli Andaman,38.68356601,5.348553948,52.45117498,26.369512,26.08166298,4.876395234
Hesperoptenus tickelli Andaman,36.82633337,5.390762835,49.87450825,26.80279012,23.07171813,4.279861466
Hesperoptenus tickelli Andaman,38.68356601,5.348553948,52.45117498,26.369512,26.08166298,4.876395234
Hesperoptenus tickelli Andaman,35.9944774,4.472292985,51.88056434,25.35375596,26.52680837,5.931366407
Hesperoptenus tickelli Andaman,32.42191101,4.909299035,52.9758149,27.59283813,25.38297677,5.170387175
Hesperoptenus tickelli Andaman,29.37772829,3.95729339,50.50133452,27.32601445,23.17532007,5.856356298
Hesperoptenus tickelli Andaman,30.40525224,3.674329244,53.6872392,25.65476772,28.03247148,7.629275881
Hesperoptenus tickelli Andaman,30.0555228,3.931641938,52.35006021,26.86842507,25.48163514,6.48116882
Hesperoptenus tickelli Andaman,35.9944774,4.472292985,51.88056434,25.35375596,26.52680837,5.931366407
Hesperoptenus tickelli Andaman,29.96570142,4.249749579,50.53184462,25.2150553,25.31678932,5.957242621
Hesperoptenus tickelli Andaman,38.29804553,4.359290401,50.77683475,27.40681559,23.37001916,5.360968647
Hesperoptenus tickelli Andaman,35.9944774,4.472292985,51.88056434,25.35375596,26.52680837,5.931366407
Hesperoptenus tickelli Andaman,29.57034068,4.870557923,51.57961114,27.26864067,24.31097048,4.991413892
Hesperoptenus tickelli Andaman,40.51859641,4.994614125,51.06564872,27.69421059,23.37143813,4.679328082
Hesperoptenus tickelli Andaman,38.29804553,4.359290401,50.77683475,27.40681559,23.37001916,5.360968647
Hesperoptenus tickelli Andaman,29.37772829,3.95729339,50.50133452,27.32601445,23.17532007,5.856356298
Hesperoptenus tickelli Andaman,29.96570142,4.249749579,50.53184462,25.2150553,25.31678932,5.957242621
Hesperoptenus tickelli Andaman,36.28565872,5.811188729,48.98048051,27.00640348,21.97407702,3.781339421
Hesperoptenus tickelli Andaman,30.0555228,3.931641938,52.35006021,26.86842507,25.48163514,6.48116882
Hesperoptenus tickelli Andaman,29.37772829,3.95729339,50.50133452,27.32601445,23.17532007,5.856356298
Hesperoptenus tickelli Andaman,34.95122601,4.76747091,50.69110635,27.50542798,23.18567837,4.863307781
Hesperoptenus tickelli Andaman,30.54279191,4.591107211,53.10306557,27.09468439,26.00838117,5.664947468
Hesperoptenus tickelli Andaman,38.29804553,4.359290401,50.77683475,27.40681559,23.37001916,5.360968647
