Species,FMAXE,D,HF,LF,B,SR
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
Arielulus circumdatus,29.48968046,9.130960598,44.04298544,26.13628827,17.90669717,1.961096752
