FMAXE,D,HF,LF,B,Species
59.7,2.5,99,42,57,Myotis horsfieldii
54.8,2.3,95,43,52,Myotis horsfieldii
54.5,2.3,96,41,55,Myotis horsfieldii
51,1.9,81,45,36,Myotis horsfieldii
54.1,2.2,100,41,59,Myotis horsfieldii
50,2.2,85,39,46,Myotis horsfieldii
53.3,2.9,108,41,67,Myotis horsfieldii
64.5,2.9,110,42,68,Myotis horsfieldii
63.5,3,105,42,63,Myotis horsfieldii
60.1,2.3,100,45,55,Myotis horsfieldii
60.2,2.3,103,44,59,Myotis horsfieldii
64.5,2.8,109,40,69,Myotis horsfieldii
63.9,2.76,105,43,62,Myotis horsfieldii
66.4,2.9,105,43,62,Myotis horsfieldii
57.4,2.2,96,45,51,Myotis horsfieldii
54.5,1.5,96,45,51,Myotis horsfieldii
56.8,2.3,95,45,50,Myotis horsfieldii
56,2.5,100,42,58,Myotis horsfieldii
55.6,2.1,97,42,55,Myotis horsfieldii
55.5,2.1,93,44,49,Myotis horsfieldii
64.7,2.7,103,41,62,Myotis horsfieldii
64.6,2.6,104,41,63,Myotis horsfieldii
64.5,2.7,104,42,62,Myotis horsfieldii
49.7,2.5,88,40,48,Myotis peytoni
50,2.8,91,38,53,Myotis peytoni
50.2,2.3,94,37,57,Myotis peytoni
52.1,2.6,91,42,49,Myotis peytoni
51.2,2.4,71,40,31,Myotis peytoni
51.1,1.9,87,40,47,Myotis peytoni
52.2,3,89,40,49,Myotis peytoni
52.6,2,109,39,70,Myotis peytoni
51.8,2.3,95,40,55,Myotis peytoni
53,2.5,94,40,54,Myotis peytoni
49.6,2.5,91,40,51,Myotis peytoni
31.2,1.3,35,25,10,Rhinopoma hardwickii
31.3,1.4,37,26,11,Rhinopoma hardwickii
31.1,1.6,36,25,11,Rhinopoma hardwickii
31.2,1.4,37,26,11,Rhinopoma hardwickii
31.5,1.7,35,28,7,Rhinopoma hardwickii
31.5,1.5,36,27,9,Rhinopoma hardwickii
31.5,1.3,35,27,8,Rhinopoma hardwickii
32.2,1.8,37,27,10,Rhinopoma hardwickii
27.7,9,30,20,10,Taphozous melanopogon
26.3,8,28,21,7,Taphozous melanopogon
27.5,4.2,31,17,14,Taphozous melanopogon
27.3,4.4,31,18,13,Taphozous melanopogon
26.2,2.6,30,18,12,Taphozous melanopogon
26.6,4,30,18,12,Taphozous melanopogon
28.1,4.2,32,21,11,Taphozous melanopogon
28.1,4.2,33,21,12,Taphozous melanopogon
28.9,3.2,32,20,12,Taphozous melanopogon
28.1,3.8,31,20,11,Taphozous melanopogon
27.5,4.2,30,21,9,Taphozous melanopogon
27.9,3.2,30,20,10,Taphozous melanopogon
33.9,7.4,56.1,30.9,25.2,Miniopterus fuliginosus
34.5,7.2,62.5,31.3,31.2,Miniopterus fuliginosus
33.5,6.4,41.6,30.9,10.7,Miniopterus fuliginosus
34.5,6.7,54.8,31.3,23.5,Miniopterus fuliginosus
34.5,7.1,63.2,31.6,31.6,Miniopterus fuliginosus
34.2,7.2,51.9,30.9,21,Miniopterus fuliginosus
34.4,7.9,62.5,31.6,30.9,Miniopterus fuliginosus
33.6,8.6,52.5,31.3,21.2,Miniopterus fuliginosus
34.5,6,57.1,30.6,26.5,Miniopterus fuliginosus
34.7,6.1,57.1,31.6,25.5,Miniopterus fuliginosus
29.9,4.8,34.8,25.5,9.3,Taphozous longimanus
29.3,4.8,34.2,25.2,9,Taphozous longimanus
29.4,5.3,35.1,24.8,10.3,Taphozous longimanus
29.6,5.5,36.4,24.8,11.6,Taphozous longimanus
29,5.9,35.1,24.2,10.9,Taphozous longimanus
28.7,6.2,34.2,24.2,10,Taphozous longimanus
28.7,6.3,32.6,24.2,8.4,Taphozous longimanus
34.7,9.9,41.7,32.7,9,Pipistrellus ceylonicus
36.2,9.2,41.9,33.4,8.5,Pipistrellus ceylonicus
36.6,7.7,57.9,34.4,23.5,Pipistrellus ceylonicus
35.9,9.6,56.5,33.7,22.8,Pipistrellus ceylonicus
37.4,8.8,57.2,34.2,23,Pipistrellus ceylonicus
35.9,9.2,57.4,33.4,24,Pipistrellus ceylonicus
37.2,7.8,53.4,34.2,19.2,Pipistrellus ceylonicus
34.1,9.9,48.7,31.9,16.8,Pipistrellus ceylonicus
37.4,9,57.7,32.9,24.8,Pipistrellus ceylonicus
35.9,10,55,32.2,22.8,Pipistrellus ceylonicus
25.9,8.7,31.1,22.1,9,Taphozous nudiventris
25.9,8.3,31.9,22.4,9.5,Taphozous nudiventris
26.1,9.7,30.2,21.9,8.3,Taphozous nudiventris
25.4,9.3,29.4,21.9,7.5,Taphozous nudiventris
25.5,9.7,31.7,22.4,9.3,Taphozous nudiventris
25.4,10,31.7,21.9,9.8,Taphozous nudiventris
24.6,10,31.4,21.6,9.8,Taphozous nudiventris
26.1,10,31.9,21.1,10.8,Taphozous nudiventris
51.5,5,77,47,30,Pipistrellus tenuis
51.5,4.8,77,47,30,Pipistrellus tenuis
51.5,4.2,76,47,29,Pipistrellus tenuis
50,7,71,47,24,Pipistrellus tenuis
50.6,6.5,76,47,29,Pipistrellus tenuis
51.1,6,76,47,29,Pipistrellus tenuis
50.6,6.2,73,47,26,Pipistrellus tenuis
50.6,8.1,76,47,29,Pipistrellus tenuis
50.6,7.4,74,47,27,Pipistrellus tenuis
50.7,6.5,74,47,27,Pipistrellus tenuis
51,5.5,71,47,24,Pipistrellus tenuis
51.5,5.1,74,48,26,Pipistrellus tenuis
20.2,14,26.8,17.4,9.4,Tadarida aegyptiaca
19.9,14,26.1,17.4,8.7,Tadarida aegyptiaca
19.5,14,25.8,17.1,8.7,Tadarida aegyptiaca
19.6,15,27.4,17.7,9.7,Tadarida aegyptiaca
21.1,11,26.8,18.4,8.4,Tadarida aegyptiaca
